Field 1 (Front),Field 2 (Back),Further Fields (3, 4, ...)
essere,to be; think the essence of something is what it is to be
chiedere,to ask; the e at the end is like a Canadian saying, "eh" and asking for confirmation 
diventare,to become; to "dive in" to becoming something new
iniziare,to begin; to initialize or begin something 
portare,to bring; something is portable you can bring it 
solo,alone; someone who is solo is alone; same as Spanish
cattivo,bad; a bad cat breaking the tivo
vuoto,empty; see the "oto" as eyes and a nose but the eyes are empty
completo,complete; cognate
cibo,food; "ci" makes the "chee" sound in Cheeba Hut which serves food
pane,bread; similar to "pan" which is Spanish for bread 
formaggio,cheese; THE FORMAGGGE
carne,meat; same as Spanish
pollo,chicken; same as Spanish; pronounced different 
pesce,fish; similar to Spanish word pescado
sale,salt; similar to Spanish "sal" 
panino,sandwich; similar to panini which is a kind of sandwich 
insalata,salad; looks like salad; similar to Spanish
caramella,candy; "caramel" is a kind of candy
frutta,fruit; pronounced similarly to fruit
mela,apple; think of having an apple for an entire meal
riso,rice; pretty much a cognate
zuppa,soup; sounds much like soup
uova,egg; similar to huevo which is Spanish for egg
prosciutto,ham; prosciutto is like thinly sliced ham
pancetta,bacon; pancetta is a special kind of bacon
salsiccia,sausage; similar to salchicha which is sausage in Spanish
verdura,vegetable; same as Spanish 
sformato,pie or souffle; imagine four pies or souffles made of tomato
burro,butter; same form as butter with a "bu" followed by to consonants
farina,flour; imagine someone traveling "far" to get to the flour mill to get some semol"ina"
zucchero,sugar; imagine seeing sugar cookies spelling the word zucchero
appartenere,to belong; the word contains "apart" which implies it belongs to something
scegliere,too choose; associate "sceg" and select 
chiudere,to close; "chi" is pronounced as key so imagine closing a door and locking it with a key
coprire,to cover; think of a cop covering the rir of his car to hide from people speeding
piangere,to cry; someone is in "pian" (pain) so they cry
libero,free; similar to liberty which is synonymous with freedom
pieno,full; imagine a piano taking up the room so it's full
orribile,horrible; a cognate for horrible 
ultimo,last; similar to penultimate which is second to last
nuovo,new; similar to Spanish "nuevo" 
prossimo,next; think of the next step in a long process
rumoroso,noisy; imagine an "rum"bling engine being really noisy
comune,ordinary; similar to the word common which is synonymous which ordinary 
altro,other; similar to Spanish otro which is another
perfetto,perfect; cognate 
stesso,same; think something "stes" the same 
silenzioso,silent; cognate
semplice,simple; cognate 
speciale,special; cognate 
utile,useful; similar to utility
inutile,useless; the "in" means not - not utile
solito,usual; imagine ordering your "usual" at a restaurant and it's a dish called solito
intero,whole; similar to "entire" which implies the whole of something 
dipendere,to depend; cognate 
descrivere,to describe; cognate 
scavare,to dig; imagine someone excavating a tomb
sparire,to disappear; almost rhymes with disappear; imagine someone di"sparire"
fare ,to do; imagine someone paying a fare; the to do is actually paying 
vestire,to dress; imagine someone putting one a "vest" 
cioccolato,chocolate; cognate 
fragola,strawberry; imagine a fragile little strawberry
lampone,raspberry; imagine a "lamp" but the top of it is a raspberry 
more,blackberry; the pronunciation almost evokes the thought of death, black and death are associated 
colazione,breakfast; imagine a huge breakfast calzone with eggs and bacon and cheese 
pranzo,lunch; imagine prancing to the lunch table at noon
cena,dinner; similar to Spanish 
maiale,pork; imagine "my" little pig named "al"
conosco i miei polli,I know my chicken (I know what I'm talking about); conosco is a cognate with Spanish conozco and polli is chicken
sei come il prezzemolo,you are like parsley (you pop up everywhere); 
non fare il salame,Don't act like salame (don't be a ham, you idiot); fare is to do and salame is salami
addormentarsi,to fall asleep; think about how much you "addor" sleeping 
trovare,to find; imagine going on a treasure hunt and fine a treasure "trov"
piegare,to fold; imagine folding a "pie" when baking it 
dimenticare,to forget; imagine someone with dimensia who forgets a lot
dare,to give; cognate with Spanish "dar" to give 
avere,to have; imagine someone taking a deep breath and h"av"ing "er" in their lungs 
divertirsi,to have fun; similar to Spanish divertido which adj for fun
sentire,to hear; imagine a "senti"ent robot hearing something and then responding to it 
nascondere,to hide; imagine "Nas" committing a  "con" where he hides something from someone
caffé,an espresso; cognate with Spanish 
succo di frutta,fruit juice; imagine a "succ"ulent berry fruit juice 
pomodoro,tomato; think of you sweet potato gnocchi 
basilico,basil; basically a cognate 
origano,oregano; basically a cognate 
acciuga,anchovy; imagine an anchovy chugging water in the ocean 
capperi,capers; basically a cognate 
cipolle,onion; imagine a chipotle bowl with tons of onions 
ananas,pineapple; imagine hitting a pineapple tree to knock a pineapple down and it making an "ananan" sound
torta,cake; imagine a small "tort" cake 
latte,milk; a latte is an espresso with milk 
bistecca,steak; cognate with Spanish 
acerbo,sour or unripe; acerbo sounds like "achoo" and you make the same face when sneezing as when something is sour or unripe
aceto balsamico,balsamic vinegar; basically a cognate with balsamic<br>
acido,acidic or sharp; basically a cognate 
acqua,water; cognate with Spanish 
affumicato,smoked; "fumar" is to smoke in Spanish 
aglio,garlic; imagine eating garlic and saying "ah" and feeling "gli"
anguria,watermelon; imagine an angry gorilla smashing a watermelon 
assaggio,a taste; imagine taking a taste of a saggi oreo
bevande,beverage or drink; a cognate to beverage 
birra,beer; sounds like beer 
cacio,cheese; think cacio e pepe
pepe,pepper; think of cacio e pepe
cannella,cinnamon; think of someone named canela with cinnamon skin
capra,goat; imagine a huge evil goat named Il Capra
carote ,carrot; cognate for carrot
caviale,caviar; almost cognate of caviar 
bruselle,brussel sprouts; cognate for brussel sprouts
cucina,kitchen; think of cucina colore (color kitchen)
crudo,raw; think of something being raw and crude and not tasting 
cuoco,cook/chef; cognate to the word cook
desco,dining table; think of a desk to eat dinner at 
fame,hunger/appetite; think of being famished 
filetto,filet mignon; cognate for filet 
forno,oven and bakery; almost like furnace
gambero,shrimp; the g a and b look like shrimp
grano,grain; cognate for grain 
noci,nuts; imagine a big bag of nuts with noci on it
pomplemo,grapefruit; cognate of pamplemouse which is French for grapefruit
spezie,spices; cognate for spices 
agnolotti,ravioli; think about the mushroom agnolotti you got at shells and sauce 
agnello,lamb; imagine petting a lamb named little agnello
arancia,orange; imagine an old lady really dragging out the "r" in orange. 
asparagi,asparagus; cognate for asparagus
ben cotto,well done; cotto is cooked and ben is similar to bien in Spanish which is like well
botte,barrel; think of the phrase about the drunk wife and the barrel of wine, botte was barrel
brodo,broth; almost a cognate for broth
calice,wineglass; similar to chalice. imagine drinking wine from a big chalice 
cotoletta,cutlet; cognate for cutlet
farcito,stuffed; imagine being so full your stomach is expanding far away from your body
gasatto,carbonated; sounds like "gas added"
impanato,breaded; imagine a dish being an imposter to bread bc its breaded
limone,lemon; cognate for lemon
manzo ,beef; imagine a cow named manzo the moooer
mercato,market; cognate for market 
miele,honey; imagine mi as in my and ele as in l for love. overall my honey
odori,herbs; has "odor" in it and herbs have strong odors <br>
pesca,peach; imagine a peach flavor fresca
pollame,poultry; similar to salame but with pollo 
polpette,meatballs; imagine having pupils made of meatballs
porco,pig; cognate with pork but not the actual meat
prezzemolo,parsley; think of the saying about parsley
rosemario,rosemary; cognate for rosemary
sarda,sardine; almost a cognate for sardine
sfuso,bulk; imagine a buying couches in bulk
spinaci,spinach; cognate for spinach
timo,thyme; cognate for time but it's really the spice 
tonno,tuna; similar to tuna but more Italian. imagine a ton of tuna 
vaniglia,vanilla; cognate for vanilla
uvetta,raisins; uva is Spanish for grape so imagine just a small dried grape
zafferano,saffron; cognate for saffron
zucchine,zucchini; cognate for zucchini 
succoso,juicy; imagine sucking the juice out of an extremely juicy orange 
salato,salty; the word has sal in it which is close to salt in Italian 
succulento,succulent; cognate for succulent 
piccante,spicy; cognate for picante which is Spanish for spicy
delizoso,delicious; cognate for delicious 
gusto,flavor; imagine an extremely tasty dish had a lot of gusto 
gustoso,tasty; gusto means flavor so gustoso is describing something a lot of flavor which is tasty
padella,pan; imagine using a pan as a paddel to hit something 
cucinare,to cook; the cucina is the kitchen and you cook in the kitchen
aprire,to open; abrir is open in Spanish and this is a cognate for that
friggere,to fry; sounds like fryer 
tagliare,to cut; imagine taking a knife and removing a tag from something 
la cintura,belt; imagine something cinching your waist 
il berretto,cap; similar to French beret
i guanti,gloves; looks kind of like gauntlets
il cappello ,hat; has cap in the word
la borsa,purse; cognate for bolsa which is bag in Spanish 
i calzini,socks; imagine wearing a calzone on your feet
gli occhiali da sole,sunglasses; has da sole in it which is of sun
la cravatta,tie; almost has "crab" in it. imagine a wearing a tie with crabs all over it
l'orologio,watch; has oro which is Spanish for gold. imagine a big gold watch
la camicetta,blouse; similar to camiseta which is shirt in Spanish. imagine a womans top or blouse 
il vestito,dress; "ito" is little in Spanish so think of a little small dress on a beautiful woman
la biancheria intima,lingerie; has "intima" in it so think of intiment clothing 
i pantaloni,pants; cognate for pantalones which is Spanish for pants
la camicia,shirt; similar to camiseta which is Spanish for shirt 
le scarpe,shoes; imagine really damaged and scarred shoes 
il cotone,cotton; cognate for cotton
il lino,linen; close to a cognate for linen 
il polistere,polyester; cognate for polyester 
la lana,wool; similar to llama imagine a big fluffy wool llama
largo,loose; cognate for large
stretto,tight; "stre" is the first sound of straight jacket which is extremely tight 
colpire,to hit; imagine a culprit entering your house and having to hit them
sperare,to hope; sounds like "spare" imagine hoping you can make it home on your spare tire 
tenere,to keep; similar to tener which is to have in Spanish. imagine having something and keeping it with you everywhere 
partire,to leave; has "part" in it as in to depart or part ways 
ascoltare,to listen to; imagine "as" someone is "col"ling you you are listening to them
cercare,to look for; almost close to search which is like looking for something 
necessitare,to need; cognate for necessity which is something you need
rimarcare,to notice; "rimar" sounds like remark which is something you might do if you noticed something 
occupare,to occupy; cognate for occupy 
offrire,to offer; cognate for offer
un po,a little bit; similar to un poco which is Spanish for a little
molto ,a lot; has similar letters as "a lot" and starts with m like "mucho"
ancora,again; has "an" in it like "another" which is the same thing repeating again
quasi,almost; cognate for quasi which is like "kind of" or "almost"
anche,also; imagine someone explaining how to spell something with k at the end and they say and k. or also k
sempre,always; cognate for siempre which is Spanish for always 
male,bad; cognate for mal
perché,because or why; cognate for porqué which is because in Spanish 
generalmente,generally; cognate for generally
precedentemente,formerly; has precedent in it which comes first or formerly 
qui,here; close to aqui which is here in Spanish 
come,how; cognate for como which is Spanish for how
quanto,how much; cognate for cuanto which is Spanish for how much 
quanti,how many; plural for quanto
vestito,clothes; vestire is to dress and you get dressed with clothes 
taglia,size; has "tag" in it. tags have the size of clothing on them
jeans,jeans; jeans
maglione,sweater; sounds like "my only" imagine telling your gf you cant give her your sweater bc it's my only 
scarpe,shoes; imagine having really damaged shoes that are scuffed and scarred
accessori,accessory; cognate
preferire,to prefer; cognate for prefer
leggere,to read; pronounced with a "ledg" which is like "ledger" imagine reading a ledger
ricevere,to receive; cognate for receive 
riprarare,to repair; cognate for repair
rispondere,to reply; cognate for respond which is the same as reply 
abitare,to reside; looks like "habitat" almost. you reside in your habitat 
vedere,to see; imagine seeing through Darth "Veder"s mask and everything being extremely dark
inviare,to send; imagine sending an a invitation to a formal dinner
sedersi,to sit; almost sounds like "sit" "there" 
dormire,to sleep; cognate with Spanish dormir
odorare,to smell; has the word odor in it which is what you're actually smelling
fumare,to smoke; cognate for Spanish to smoke which is fumar
parlare,to speak; parlance is similar to language 
passare,to spend time or to pass; pass is in the word and imagine "pass"ing time 
divaricare,to spread; almost like divide imagine dividing something and spreading among many parts
stendere,to stretch; imagine someone "stend"ing extremely tall and stretching out
circondare,to surround; has "circ" in it imagine "circ"ling "on" someone and surrounding them
prendere,to take; imagine apprehending something and taking it
pensare ,to think; cognate with Spanish to think pensar
lanciare,to throw; has "lanc" in it like the word lance which is something you throw
provare,to try; has "prov" as in "prove" imaging trying to "prove" a mathematical statement
capire,to understand; think of capeche which is asking whether or not you understand 
usare,to use; cognate for use
