,token,total_count
0,di,83125649
1,il,65793549
3,e,48041024
4,essere,45211879
2,la,43005107
5,del,33460584
6,che,30978070
7,in,30519555
9,a,24710050
10,per,23364725
8,della,22884890
11,un,19584983
15,al,17165535
13,avere,16990834
12,l',16039160
14,non,15522735
17,una,13459321
18,si,13430586
16,con,13349608
19,da,12980850
20,alla,9464459
21,nel,8963677
22,dell',8304628
23,questo,7652129
24,potere,6621456
28,come,6463671
27,fare,6299814
30,ma,6203256
29,o,6076743
32,anche,6001326
25,più,5755909
35,suo,5735615
26,dal,5697743
31,...,5545017
33,nella,4992281
36,tutto,4761209
34,all',4629456
38,ed,4529409
40,ad,4456098
37,se,4446388
41,cui,4249431
42,dovere,4017025
45,altro,3904322
46,quello,3902236
44,anno,3885706
39,dalla,3873434
52,su,3626462
43,articolo,3585784
47,numero,3383703
48,sul,3240261
55,venire,3081627
51,tra,3026407
49,dire,2985372
54,primo,2975131
53,solo,2873611
56,ci,2720362
50,sulla,2602662
59,nuovo,2538289
61,parte,2519088
57,mi,2503958
62,loro,2430361
69,due,2373267
67,molto,2360792
64,proprio,2343879
58,da|di,2276475
63,stesso,2274638
66,grande,2272195
60,lavoro,2223306
71,volere,2062884
65,perché,2060133
73,andare,2052827
79,secondo,2025721
78,dare,2014392
70,legge,1998902
68,»,1976110
77,ora,1964039
92,dopo,1952775
88,lo,1927934
72,«,1885106
81,tempo,1875281
74,nell',1864165
75,dall',1861507
76,un',1837034
82,quanto,1810421
93,quando,1777237
80,servizio,1770887
90,sempre,1746264
86,cosa,1743716
87,caso,1742467
95,poi,1741684
84,pubblico,1736880
83,mio,1723086
85,nostro,1716761
91,ogni,1715345
94,giorno,1662077
102,italiano,1599128
100,senza,1592829
108,quale,1586501
101,ancora,1582722
89,così,1572605
98,sapere,1567458
96,stare,1554469
97,tale,1553415
105,trovare,1550225
106,vedere,1547365
110,volta,1487859
114,ne,1444706
99,comma,1444512
103,stato,1439564
116,fine,1363383
117,modo,1355660
104,già,1345572
115,chi,1330150
109,presidente,1324299
125,Italia,1322898
113,io,1320791
107,attività,1303169
124,vita,1303075
121,punto,1299572
118,via,1290560
127,ultimo,1286770
112,alcun,1273618
111,essere|stare,1266219
122,persona,1265247
126,diverso,1254540
123,presente,1244404
135,dove,1241344
120,diritto,1232596
128,mondo,1220779
130,quindi,1220409
132,sistema,1189649
129,comune,1177267
158,uno,1176682
131,paese,1162949
119,c',1161814
133,tanto,1150482
134,nazionale,1140458
136,progetto,1115942
137,mettere,1109356
150,poco,1091419
140,scrivere,1083453
146,oggi,1072297
164,gruppo,1061681
145,particolare,1051920
156,uomo,1038127
163,prendere,1027211
147,corso,1026560
141,scuola,1024371
157,presentare,1014646
175,fino,1014283
152,problema,1006287
143,senso,1005342
159,parlare,1003542
142,consiglio,1000605
138,previsto,992808
154,bene,990496
155,governo,989003
139,quali,987056
153,ricerca,984177
151,sociale,980427
160,pensare,979620
176,tre,977636
144,commissione,977156
148,relativo,973997
161,europeo,960429
171,politico,954820
162,regione,953090
178,vi,951430
182,portare,950411
192,storia,950145
177,oltre,948850
203,mentre,947333
167,generale,945941
149,decreto,945590
169,base,944646
174,mai,944285
199,prima,933055
195,contro,920817
172,chiedere,918961
166,noi,918231
188,invece,905698
170,informazione,904157
190,interno,898802
184,fatto,885413
186,centro,881973
180,tenere,881395
191,vero,880170
181,rispetto,879673
165,,874645
187,possibile,867507
173,regionale,861231
168,quella,859015
193,termine,858079
200,certo,851471
185,ti,850951
212,infatti,847050
204,titolo,844219
194,livello,844028
205,studio,831548
206,meno,828624
221,fra,828484
201,me,827860
228,casa,827134
183,intervento,825938
208,momento,825086
238,opera,824098
202,programma,821366
214,rendere,816974
218,Roma,814382
179,tutti,814186
215,mese,807739
196,atto,802654
197,personale,797703
219,sembrare,795627
207,locale,795477
217,qualche,794007
211,sito,789513
241,verso,789269
198,pagina,785460
189,ciò,781102
226,qui,778566
234,unico,777683
239,arrivare,777299
216,rapporto,775089
243,lui,773819
229,presso,773784
232,trattare,773025
227,area,768748
250,piccolo,767450
225,piano,766394
244,forma,765093
209,ministro,764083
233,cercare,760872
302,nome,759741
210,disposizione,757405
223,necessario,757164
231,comunque,750950
264,riuscire,744963
258,esempio,743408
247,posto,741606
230,dato,736271
224,settore,736033
237,parola,733799
269,periodo,729731
213,°,729307
236,economico,728198
273,sotto,727048
288,gli,725300
265,importante,725031
245,attraverso,722717
268,lasciare,715828
220,però,714786
222,sull',708057
270,considerare,705886
286,utilizzare,705808
291,lungo,705265
248,sviluppo,703528
246,sentire,702482
260,ricordare,700985
235,amministrazione,697868
276,tipo,696132
287,passare,695328
253,svolgere,694508
275,soprattutto,689775
280,territorio,687172
255,credere,686172
251,tuo,684923
249,euro,684617
240,materia,684127
300,diventare,681645
242,norma,680870
261,riguardare,675184
301,alto,674249
304,inoltre,671932
262,condizione,670762
297,seguire,669932
257,inviare,665862
279,forse,659461
256,domanda,658506
294,donna,657904
319,circa,656878
347,guerra,652232
328,usare,649706
267,soggetto,649019
295,mezzo,648035
277,formazione,647973
263,impresa,645729
290,valore,645597
303,luogo,645460
252,quelli,644785
274,relazione,644176
254,,641566
285,situazione,639430
281,seguente,638609
306,forza,637435
349,famiglia,634074
311,giovane,633032
296,funzione,632493
358,successivo,632223
259,società,630530
411,durante,629275
299,sede,627795
315,vivere,626867
